iter	Passed	Remaining
0	64	38448
1	123	36828
2	188	37567
3	250	37315
4	314	37461
5	377	37361
6	439	37220
7	504	37319
8	560	36811
9	618	36515
10	682	36520
11	743	36443
12	820	37026
13	889	37244
14	949	37044
15	1010	36894
16	1075	36876
17	1136	36738
18	1194	36540
19	1255	36407
20	1317	36320
21	1378	36206
22	1436	36043
23	1495	35889
24	1551	35695
25	1612	35594
26	1677	35597
27	1744	35645
28	1817	35793
29	1880	35726
30	1944	35687
31	2007	35638
32	2070	35572
33	2136	35558
34	2206	35618
35	2268	35543
36	2335	35530
37	2395	35433
38	2455	35321
39	2515	35222
40	2580	35179
41	2640	35074
42	2701	34995
43	2764	34936
44	2832	34939
45	2899	34923
46	2963	34871
47	3026	34810
48	3088	34725
49	3173	34905
50	3276	35274
51	3382	35645
52	3480	35919
53	3585	36250
54	3668	36354
55	3738	36317
56	3812	36316
57	3879	36256
58	3952	36239
59	4022	36202
60	4094	36180
61	4173	36214
62	4272	36421
63	4365	36563
64	4441	36557
65	4520	36572
66	4592	36532
67	4681	36626
68	4764	36669
69	4831	36582
70	4920	36664
71	4996	36637
72	5073	36624
73	5164	36707
74	5247	36731
75	5323	36707
76	5400	36683
77	5489	36735
78	5562	36682
79	5640	36660
80	5715	36624
81	5795	36611
82	5876	36606
83	5975	36706
84	6050	36661
85	6126	36614
86	6263	36935
87	6334	36856
88	6397	36729
89	6463	36624
90	6532	36536
91	6599	36438
92	6667	36348
93	6755	36363
94	6824	36276
95	6904	36246
96	6982	36210
97	7046	36097
98	7111	35988
99	7183	35915
100	7247	35808
101	7310	35692
102	7378	35604
103	7452	35541
104	7531	35505
105	7603	35435
106	7663	35310
107	7721	35173
108	7775	35026
109	7835	34901
110	7899	34798
111	7968	34721
112	8034	34626
113	8096	34515
114	8161	34421
115	8222	34306
116	8281	34186
117	8339	34064
118	8398	33948
119	8458	33835
120	8511	33696
121	8562	33547
122	8612	33400
123	8669	33280
124	8731	33180
125	8789	33066
126	8851	32965
127	8909	32854
128	8966	32739
129	9031	32650
130	9101	32586
131	9186	32569
132	9251	32484
133	9317	32402
134	9384	32324
135	9454	32258
136	9516	32162
137	9578	32067
138	9643	31983
139	9704	31887
140	9768	31801
141	9833	31717
142	9896	31627
143	9965	31556
144	10032	31482
145	10099	31403
146	10178	31366
147	10243	31285
148	10302	31185
149	10371	31115
150	10443	31053
151	10502	30954
152	10578	30904
153	10653	30854
154	10726	30794
155	10796	30728
156	10857	30636
157	10921	30552
158	10981	30456
159	11044	30373
160	11112	30299
161	11170	30202
162	11228	30103
163	11298	30038
164	11360	29950
165	11433	29891
166	11505	29832
167	11569	29749
168	11631	29663
169	11683	29552
170	11737	29445
171	11783	29321
172	11829	29197
173	11876	29077
174	11923	28957
175	11969	28836
176	12016	28716
177	12060	28593
178	12106	28474
179	12150	28351
180	12198	28239
181	12243	28119
182	12289	28003
183	12334	27885
184	12377	27766
185	12421	27648
186	12465	27531
187	12514	27425
188	12559	27311
189	12603	27198
190	12647	27082
191	12692	26971
192	12739	26864
193	12785	26757
194	12837	26662
195	12882	26554
196	12927	26445
197	12971	26336
198	13015	26227
199	13058	26117
200	13102	26009
201	13146	25902
202	13191	25798
203	13236	25693
204	13280	25590
205	13326	25488
206	13371	25386
207	13421	25293
208	13471	25203
209	13524	25116
210	13575	25027
211	13626	24939
212	13676	24848
213	13731	24767
214	13780	24676
215	13833	24592
216	13884	24505
217	13935	24419
218	13982	24325
219	14031	24236
220	14082	24150
221	14133	24064
222	14186	23983
223	14237	23897
224	14293	23822
225	14344	23738
